model,Decision tree,Decision tree,Decision tree,Linear regression,Linear regression,Linear regression,Mean baseline,Mean baseline,Mean baseline,Random forest,Random forest,Random forest
predictors,M0 prior sleep,M1 activity,M2 both,M0 prior sleep,M1 activity,M2 both,M0 prior sleep,M1 activity,M2 both,M0 prior sleep,M1 activity,M2 both
outcome,,,,,,,,,,,,
REM (% of TST),-0.18602327535347252,-0.32622343399426823,-0.45100924775600526,-0.057553679092390286,-0.09381147917741495,-0.11894424671183135,-0.05404705817491906,-0.05404705817491906,-0.05404705817491906,-0.1397942448018854,-0.10289191513717477,-0.08688726394283997
WASO (min),-0.5254259846498279,-0.4123304232206544,-0.6528008825252221,-0.1877898170720922,-0.15702786954144576,-0.2849371440261701,-0.13793866779206732,-0.13793866779206732,-0.13793866779206732,-0.48157538711990955,-0.32348229715404564,-0.3729224671629243
deep sleep (% of TST),-0.13589546275492204,-0.4398554868497093,-0.6336070787980961,-0.047781984917955045,-0.09858534836077104,-0.227512184351099,-0.024317245058484094,-0.024317245058484094,-0.024317245058484094,-0.10598917629507087,-0.21194674111899214,-0.1716984901627252
sleep efficiency (%),-0.4960910194489392,-0.25228437915137736,-0.4518583476202134,-0.08161449317904346,-0.060038204279774465,-0.25493026678679764,-0.029376880392662397,-0.029376880392662397,-0.029376880392662397,-0.4903182627518372,-0.23179652824568175,-0.2638128086025433
sleep latency (min),-0.15876443029177523,-0.9404319633794813,-0.8828188991865602,-0.04632093441343277,-0.09153924945816594,-0.19184981594148698,-0.05092070056202225,-0.05092070056202225,-0.05092070056202225,-0.12437589318614073,-0.2650289805472137,-0.32310584973629286
total sleep time (min),-0.19886708160340572,-0.39146588441384456,-0.4214535948520086,-0.037885537969287286,-0.1467210998130022,-0.46164563084628973,-0.03447443084876678,-0.03447443084876678,-0.03447443084876678,-0.2846430932068067,-0.2385036928151425,-0.2004111403052833
