night,eff,eff_poor,tst,waso,waso_poor,sol,rem_pct,n3_pct,restorative_pct,tib,deep,rem,bedtime,waketime,nap_min,steps,kcal,eff_lag1,bedtime_lag1,bedtime_sd7,weekend
2025-11-30,92.0,0.0,423.0,12.0,0.0,17.5,16.548463356973997,20.094562647754138,36.643026004728135,457.5,85.0,70.0,1.7666666666666666,9.316666666666666,0.0,-0.08979065660269175,0.14432885895775063,0.49391303437494805,0.7912796186207506,-0.3346043411588899,-0.6207423788637529
2025-12-01,90.0,0.0,575.0,40.0,0.0,17.5,17.73913043478261,20.0,37.73913043478261,637.55,115.0,102.0,-0.6833333333333336,9.85,0.0,-0.8569491010864297,-0.32571796995332514,1.4261738867576639,1.0091591171912626,-0.33626266937629384,-0.6207423788637529
2025-12-02,80.0,1.0,420.0,50.0,1.0,47.5,37.38095238095238,25.0,62.38095238095238,522.5166666666667,105.0,157.0,1.0666666666666667,9.7,0.0,-1.2099161967648606,0.29677647914512656,0.960043460566306,-0.3833750693246181,-0.20700354136724794,-0.6207423788637529
2025-12-03,81.0,1.0,312.0,28.0,0.0,35.0,22.435897435897434,26.28205128205128,48.717948717948715,382.5,82.0,70.0,-0.3999999999999986,5.85,0.0,-0.08422481540933936,1.1034784693033242,-1.3706086703904838,0.6112922067581539,-0.5050228823759179,-0.6207423788637529
2025-12-04,96.0,0.0,457.0,8.0,0.0,7.5,28.446389496717725,20.787746170678336,49.23413566739606,477.5,95.0,130.0,-0.5,7.383333333333334,0.0,0.22004116982725805,1.135238390175694,-1.1375434572948049,-0.22233370081597795,-0.45450303121652974,-0.6207423788637529
2025-12-05,89.0,0.0,617.0,38.0,0.0,15.0,13.290113452188006,19.448946515397083,32.73905996758509,690.0,120.0,82.0,-0.75,10.416666666666666,0.0,1.5470304743423575,0.08080901721301066,2.35843473914038,-0.2791718308778514,-0.3357353229233916,1.6109742689559305
2025-12-06,80.0,1.0,413.0,22.0,0.0,15.0,32.68765133171913,19.37046004842615,52.05811138014528,515.0,80.0,135.0,3.466666666666667,10.966666666666667,0.0,-0.9770785068429523,-0.7957647988644009,0.726978247470627,-0.4212671560325331,-0.20610312679218296,1.6109742689559305
2025-12-07,82.0,1.0,311.0,14.0,0.0,47.5,25.080385852090032,24.115755627009648,49.19614147909968,377.5,75.0,78.0,1.1666666666666667,7.383333333333334,0.0,-0.20760096186198404,1.395669741329128,-1.3706086703904838,1.9754073282430982,0.6360661789983939,-0.6207423788637529
2025-12-08,90.0,0.0,477.0,11.0,0.0,25.0,26.20545073375262,23.060796645702307,49.266247379454924,530.0,110.0,125.0,0.38333333333333336,8.916666666666666,0.0,-0.7920142871639853,-0.6242612261536029,-0.9044782441991258,0.6681303368200265,0.5386738624847965,-0.6207423788637529
2025-12-09,81.0,1.0,466.0,100.0,1.0,10.0,18.88412017167382,30.042918454935624,48.927038626609445,577.5333333333333,140.0,88.0,1.1833333333333333,10.766666666666667,0.0,-0.4798633602368052,0.9129189440691042,0.960043460566306,0.2228983180020239,0.40262581526363683,-0.6207423788637529
